konto;bezeichnung
8769;Gewährte Boni
8770;Gewährte Rabatte
8800;Sonstige betriebliche Aufwendungen Erlöse aus Verkäufen Sachanlagevermögen
8807;Erlöse aus Verkäufen Sachanlagevermögen
8808;Erlöse aus Verkäufen Sachanlagevermögen
8817;Erlöse aus Verkäufen immaterieller
8818;Sonstige betriebliche Aufwendungen Erlöse aus Verkäufen Finanzanlagen (bei
8819;Erlöse aus Verkäufen Finanzanlagen § 3 Nr.
8827;Erlöse aus Verkäufen Sachanlagevermögen
8828;Erlöse aus Verkäufen Sachanlagevermögen
8829;Erlöse aus Verkäufen Sachanlagevermögen
8837;Erlöse aus Verkäufen immaterieller
8838;Erlöse aus Verkäufen Finanzanlagen (bei
8839;Erlöse aus Verkäufen Finanzanlagen § 3 Nr.
8900;Umsatzerlöse Unentgeltliche Wertabgabe n Umsatzerlöse ohne Zuordnung nach
8905;Entnahme von Gegen ständen ohne USt steuerfreie Umsätze nach § 4 Nr. 8 ff
8906;Sonstige betriebliche Erträge Verwendung von Gegen ständen für Zwecke
8917;Entnahme durch den Unternehmer für Zwecke
8918;Sonstige betriebliche Erträge Verwendung von Gegen ständen für Zwecke
8919;Umsatzerlöse Entnahme durch den Unternehmer für Zwecke
8920;Sonstige betriebliche Erträge Verwendung von Gegen ständen für Zwecke
8921;Verwendung von Gegen ständen für Zwecke
8922;Verwendung von Gegen ständen für Zwecke
8924;Verwendung von Gegen ständen für Zwecke
8929;Unentgeltliche Erbringung einer sonstigen
8930;Verwendung von Gegen ständen für Zwecke
8931;Verwendung von Gegen ständen für Zwecke
8932;Unentgeltliche Erbringung einer sonstigen
8933;Unentgeltliche Erbringung einer sonstigen
8939;Unentgeltliche Zuwendung von Gegen ständen
8947;Unentgeltliche Zuwendung von Waren 7 % USt
8949;Unentgeltliche Zuwendung von Waren ohne
8950;Nicht steuerbare Umsätze (Innenu msätze) Sonstige Umsatzerlöse, nicht steuerbar
8955;Umsatzsteuervergütungen , z.B. nach § 24
8960;Erhöhung oder Verminderung des
8970;Bestandsverände rungen - unfertige Leistunge n
8975;Erhöhung oder Verminderung des
8977;Erhöhung oder Verminderung des
8980;Erhöhung oder Verminderung des
8990;Andere aktivierte Eigenleistungen Andere aktivierte Eigenleistunge n ande re aktivierte Eigenleistungen (GKV)
8995;Aktivierte Eigenleistungen zur Erstellung von
9000;Saldenvorträge, Sachkonten
9008;Saldenvorträge, Debitoren
9009;Saldenvorträge, Kreditoren
9060;Offene Posten aus 1990
9069;Offene Posten aus 1999
9070;Offene Posten aus 2000
9071;Offene Posten aus 2001
9072;Offene Posten aus 2002
9073;Offene Posten aus 2003
9074;Offene Posten aus 2004
9075;Offene Posten aus 2005
9076;Offene Posten aus 2006
9077;Offene Posten aus 2007
9078;Offene Posten aus 2008
9079;Offene Posten aus 2009
9080;Offene Posten aus 2010
9081;Offene Posten aus 2011
9082;Offene Posten aus 2012
9083;Offene Posten aus 2013
9084;Offene Posten aus 20141)
9090;Summenvortragskonto
9091;Offene Posten aus 1991
9092;Offene Posten aus 1992
9093;Offene Posten aus 1993
9094;Offene Posten aus 1994
9095;Offene Posten aus 1995
9096;Offene Posten aus 1996
9097;Offene Posten aus 1997
9098;Offene Posten aus 1998
9101;Verkaufstage
9102;Anzahl der Barkunde n
9103;Beschäftigte Personen
9104;Unbezahlte Personen
9105;Verkaufskräfte
9106;Geschäftsraum qm
9107;und Konten 9116 -9118
9111;Umbuchung von Darlehen auf Restlaufzeit-
9116;Anzahl Rechnunge n
9117;Anzahl Kreditkunden monatlich
9118;Anzahl Kreditkunden aufgelaufen
9120;Erweiterungsinvestitionen
9130;Mitarbeiter7)
9131;effektive Arbeitsstunde n7)
9135;Auftragseingang im Geschäftsjahr
9140;Auftragsbestand
9190;Gegen konto für statistische Mengene inheiten
9199;Gegen konto zu Konten 9120 , 9135 -9140
9200;Beschäftigte Personen
9209;Gegen konto zu 9200
9210;Produktive Löhn e
9219;Gegen konto zu 9210
9230;Baukostenzuschüsse
9232;Investitionszulagen
9234;Investitionszuschüsse
9239;Gegen konto zu Konten 9230 -9238
9240;Investitionsverbindlichkeiten bei den
9241;Investitionsverbindlichkeiten aus
9242;Investitionsverbindlichkeiten aus Käufen von
9243;Investitionsverbindlichkeiten aus Käufen von
9244;Gegen konto zu Konten 9240 -9243
9245;Forderungen aus Sachanlageverkäufen bei
9246;Forderungen aus Verkäufen immaterieller
9247;Forderungen aus Verkäufen von
9249;Gegen konto zu Konten 9245 -9247
9250;Eigenkapitalersetzende Gesellschafterdarlehen11)
9255;Ungesicherte Gesellschafterdarlehen -
9259;Gegen konto zu 9250 und 925511)
9260;Kurzfristige Rückstellunge n
9262;Mittelfristige Rückstellunge n
9264;Lang fristige Rückstellungen , außer Pensionen
9269;Gegen konto zu Konten 9260 -9268
9270;Gegen konto zu 9271 bis 9278 (Soll-Buchung )
9271;Verbindlichkeiten aus der Begebung und
9272;Verbindlichkeiten aus der Begebung und
9273;Verbindlichkeiten aus Bürgschaften, Wechsel-
9274;Verbindlichkeiten aus Bürgschaften, Wechsel-
9275;Verbindlichkeiten aus
9276;Verbindlichkeiten aus
9277;Haftung aus der Bestellung von Sicherheiten
9278;Haftung aus der Bestellung von Sicherheiten
9279;Verpflichtungen aus Treuhand vermögen
9280;Gegen konto zu 9281 -9286
9281;Verpflichtungen aus Miet- und
9282;Verpflichtungen aus Miet- und
9283;Andere Verpflichtungen gemäß § 285 Nr. 3a
9284;Andere Verpflichtungen gemäß § 285 Nr. 3a
9285;Statistisches Konto für den oberen Grenzwert,
9286;Statistisches Konto für den unteren Grenzwert,
9290;Statistisches Konto steuerfreie Auslagen
9291;Gegen konto zu 9290
9292;Verbindlichkeiten aus Lieferungen und
9293;Sonstige Verbindlichkeiten Gegen konto zu 9292 übrige sonstige Verbindlichkeiten
9295;Einlagen stiller Gesellschafter Einlagen stiller Gesellschafter GK Einlagen stiller Gesellschafter
9390;Konto für Branchenlösungen (Werte 1)24)
9391;Konto für Branchenlösungen (Werte 2)
9392;Konto für Branchenlösungen (Werte 3)
9393;Konto für Branchenlösungen (Werte 4)
9394;Gegen konto für Branchenlösungen (Werte)
9395;Konto für Branchenlösungen (Menge 1)
9396;Konto für Branchenlösungen (Menge 2)
9397;Konto für Branchenlösungen (Menge 3)
9398;Konto für Branchenlösungen (Menge 4)
9399;Gegen konto für Branchenlösungen (Menge )
9810;VH Kapitalanteile der persönlich haftenden
9820;VH Aufzulösende r Auffangpo sten
9840;TH Kapitalanteile der Kommanditisten
9880;Ausgleichsposten für aktivierte eigene
9882;Ausgleichsposten für aktivierte
9883;Durch Entnahmen entstandene s
9884;Nicht durch Vermögen seinlagen gede ckte
9885;Durch Verluste entstandene s nega tives
9886;Verrechnung skonto für nicht durch
9887;Steueraufwand der Gesellschafter
9889;Gegen konto zu 9887
9890;Statistisches Konto für den Gewinnzuschlag
9891;Statistisches Konto für den Gewinnzuschlag
9930;VH eingeforderte noch ausstehende
9950;TH eingeforderte noch ausstehende
9960;Forderungen aus Lieferungen und
9961;Sonstige Verbindlichkeiten Bewertungskorrektur zu sonstigen
9962;Kassenbe stand, Bunde sbankguthaben ,
9963;Verbindlichkeiten gegenübe r
9964;Verbindlichkeiten aus Lieferungen und
9965;Sonstige Vermögen sgegen stände Bewertungskorrektur zu sonstigen
9970;Investitionsabzugsbetrag § 7g Abs. 1 EStG,
9971;Investitionsabzugsbetrag § 7g Abs. 1 EStG,
9972;Hinzurechnung Investitionsabzugsbetrag § 7g
9973;Hinzurechnung Investitionsabzugsbetrag § 7g
9974;Rückgäng igmachung § 7g Abs. 3, 4 EStG und
9975;Rückgäng igmachung § 7g Abs. 3, 4 EStG und
9976;Nicht abzugsfähige Zinsaufwendungen gemäß
9977;Nicht abzugsfähige Zinsaufwendungen gemäß
9978;Abziehba re Zinsaufwendungen aus Vorjahren
9979;Abziehba re Zinsaufwendungen aus Vorjahren
9980;Gutschrift auf Verbindlichkeitskonten Anteil Belastung auf Verbindlichkeitskonten Gutschrift auf Kapitalkonten der
9981;Gutschrift auf Kapitalkonten Verrechnung skonto für Anteil Belastung auf
9982;Gutschrift auf Verbindlichkeitskonten Anteil Gutschrift auf Verbindlichkeitskonten
9983;Gutschrift auf Kapitalkonten Verrechnung skonto für Anteil Gutschrift auf
9984;Gewinnkorrektur nach § 60 Abs 2 EStDV -
9985;Gegen konto zu 9984
9986;Ergebn isverteilung auf Fremdkapital
9987;Bilanzberichtigung
9989;Gegen konto zu 9986 - 9988
